, 501, 506, 512, 510, 350296
509, 499, 504, 510, 509, 350330
509, 498, 504, 510, 508, 350364
509, 498, 504, 510, 508, 350399
509, 498, 505, 511, 508, 350433
509, 498, 504, 510, 508, 350468
509, 498, 505, 510, 508, 350501
510, 499, 505, 511, 509, 350536
509, 498, 505, 510, 508, 350570
510, 500, 505, 511, 509, 350605
509, 498, 504, 510, 508, 350639
512, 501, 506, 512, 511, 350673
508, 497, 504, 509, 507, 350707
511, 501, 506, 512, 511, 350742
509, 498, 504, 510, 508, 350776
511, 501, 505, 511, 510, 350811
509, 498, 505, 510, 509, 350844
510, 499, 504, 510, 509, 350879
510, 500, 506, 511, 509, 350913
510, 500, 505, 511, 510, 350948
508, 496, 503, 509, 507, 350982
509, 497, 504, 510, 507, 351016
508, 496, 504, 510, 506, 351050
511, 499, 507, 512, 509, 351085
509, 497, 504, 510, 507, 351120
511, 500, 506, 511, 509, 351154
509, 498, 504, 510, 508, 351188
512, 501, 507, 513, 510, 351222
510, 499, 505, 510, 509, 351257
511, 501, 506, 512, 510, 351291
510, 499, 504, 510, 509, 351326
511, 500, 506, 512, 510, 351360
508, 497, 503, 509, 507, 351394
509, 498, 505, 510, 508, 351428
509, 497, 504, 510, 507, 351463
512, 501, 508, 513, 510, 351497
509, 497, 503, 509, 507, 351532
512, 501, 507, 513, 511, 351565
509, 498, 503, 509, 508, 351600
511, 500, 506, 512, 510, 351634
507, 496, 503, 509, 506, 351669
510, 499, 506, 511, 509, 351703
508, 497, 503, 509, 506, 351737
511, 500, 506, 512, 509, 351771
508, 497, 504, 510, 507, 351806
510, 499, 506, 511, 509, 351840
509, 497, 504, 510, 507, 351875
512, 501, 507, 513, 510, 351908
509, 498, 503, 510, 508, 351943
511, 501, 507, 512, 510, 351977
510, 500, 505, 511, 510, 352012
510, 501, 506, 511, 510, 352046
508, 497, 503, 509, 507, 352080
509, 498, 505, 510, 508, 352114
510, 499, 505, 511, 509, 352149
510, 499, 506, 511, 509, 352184
508, 497, 503, 509, 507, 352218
510, 499, 506, 511, 509, 352252
510, 498, 504, 510, 508, 352286
513, 502, 508, 514, 512, 352321
509, 499, 504, 510, 509, 352355
510, 499, 505, 511, 509, 352390
509, 498, 504, 510, 508, 352423
511, 501, 506, 511, 510, 352458
509, 499, 505, 510, 509, 352492
510, 500, 505, 510, 509, 352527
510, 500, 505, 511, 509, 352561
508, 497, 504, 509, 507, 352595
509, 498, 505, 510, 508, 352629
507, 496, 503, 509, 506, 352664
510, 499, 505, 511, 508, 352698
510, 499, 506, 511, 509, 352733
509, 497, 504, 510, 507, 352766
515, 497, 508, 508, 515, 352801
513, 504, 509, 516, 504, 352835
507, 501, 500, 509, 503, 352870
507, 492, 503, 506, 516, 352904
517, 502, 512, 516, 513, 352939
509, 506, 504, 514, 501, 352972
504, 493, 497, 504, 508, 353007
514, 497, 510, 512, 518, 353041
514, 505, 510, 516, 504, 353076
505, 499, 499, 508, 502, 353110
509, 492, 505, 507, 516, 353144
517, 503, 513, 517, 512, 353178
506, 503, 501, 511, 500, 353213
505, 492, 500, 504, 511, 353247
514, 496, 511, 513, 515, 353282
513, 505, 507, 515, 501, 353316
503, 496, 497, 506, 503, 353350
511, 494, 507, 509, 518, 353385
516, 504, 513, 517, 510, 353419
506, 503, 501, 511, 501, 353454
506, 492, 501, 504, 513, 353487
517, 501, 513, 515, 518, 353522
512, 507, 507, 516, 503, 353556
504, 496, 497, 505, 506, 353591
511, 494, 506, 508, 517, 353625
515, 505, 512, 517, 508, 353659
504, 499, 498, 508, 500, 353693
506, 491, 502, 505, 513, 353728
514, 498, 510, 514, 511, 353762
510, 504, 506, 514, 500, 353797
503, 491, 497, 504, 505, 353830
514, 495, 509, 511, 516, 353865
514, 505, 510, 516, 505, 353899
507, 501, 501, 510, 503, 353934
508, 492, 503, 506, 514, 353968
518, 503, 513, 517, 514, 354002
509, 505, 504, 513, 501, 354036
506, 495, 500, 506, 511, 354071
513, 496, 508, 511, 516, 354105
514, 506, 509, 516, 505, 354140
505, 500, 498, 507, 504, 354173
